# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
160000000,-1188891,-190395382,-1189971.1375,-1.188891,-1.1899711375
161000000,-1191321,-191586703,-1189979.5217391304,-1.191321,-1.1899795217391305
162000000,-1190692,-192777395,-1189983.9197530865,-1.190692,-1.1899839197530864
163000000,-1187827,-193965222,-1189970.6871165645,-1.187827,-1.1899706871165645
164000000,-1188338,-195153560,-1189960.731707317,-1.188338,-1.189960731707317
165000000,-1191814,-196345374,-1189971.9636363636,-1.191814,-1.1899719636363637
166000000,-1189520,-197534894,-1189969.2409638555,-1.18952,-1.1899692409638554
167000000,-1188069,-198722963,-1189957.862275449,-1.188069,-1.1899578622754492
168000000,-1188183,-199911146,-1189947.2976190476,-1.188183,-1.1899472976190477
169000000,-1191283,-201102429,-1189955.201183432,-1.191283,-1.189955201183432
170000000,-1189278,-202291707,-1189951.217647059,-1.189278,-1.1899512176470588
171000000,-1189579,-203481286,-1189949.0409356726,-1.189579,-1.1899490409356726
172000000,-1187595,-204668881,-1189935.3546511629,-1.187595,-1.1899353546511628
173000000,-1189245,-205858126,-1189931.3641618497,-1.189245,-1.1899313641618496
174000000,-1192140,-207050266,-1189944.0574712644,-1.19214,-1.1899440574712643
175000000,-1187772,-208238038,-1189931.6457142858,-1.187772,-1.1899316457142857
176000000,-1189180,-209427218,-1189927.375,-1.18918,-1.189927375
177000000,-1191415,-210618633,-1189935.779661017,-1.191415,-1.189935779661017
178000000,-1192021,-211810654,-1189947.4943820224,-1.192021,-1.1899474943820225
179000000,-1191127,-213001781,-1189954.0837988828,-1.191127,-1.1899540837988827
180000000,-1190193,-214191974,-1189955.411111111,-1.190193,-1.189955411111111
181000000,-1190977,-215382951,-1189961.0552486188,-1.190977,-1.1899610552486188
182000000,-1191886,-216574837,-1189971.631868132,-1.191886,-1.189971631868132
183000000,-1189410,-217764247,-1189968.56284153,-1.18941,-1.18996856284153
184000000,-1190607,-218954854,-1189972.0326086956,-1.190607,-1.1899720326086956
185000000,-1192216,-220147070,-1189984.1621621621,-1.192216,-1.189984162162162
186000000,-1189804,-221336874,-1189983.1935483871,-1.189804,-1.189983193548387
187000000,-1188762,-222525636,-1189976.6631016042,-1.188762,-1.1899766631016042
188000000,-1189220,-223714856,-1189972.6382978724,-1.18922,-1.1899726382978724
189000000,-1191020,-224905876,-1189978.1798941798,-1.19102,-1.18997817989418
190000000,-1188929,-226094805,-1189972.6578947369,-1.188929,-1.189972657894737
191000000,-1191812,-227286617,-1189982.287958115,-1.191812,-1.1899822879581152
192000000,-1189504,-228476121,-1189979.796875,-1.189504,-1.189979796875
193000000,-1189051,-229665172,-1189974.9844559585,-1.189051,-1.1899749844559586
194000000,-1188875,-230854047,-1189969.3144329898,-1.188875,-1.1899693144329897
195000000,-1192814,-232046861,-1189983.9025641026,-1.192814,-1.1899839025641026
196000000,-1190258,-233237119,-1189985.301020408,-1.190258,-1.1899853010204082
197000000,-1190356,-234427475,-1189987.1827411167,-1.190356,-1.1899871827411168
198000000,-1190872,-235618347,-1189991.6515151516,-1.190872,-1.1899916515151514
199000000,-1187469,-236805816,-1189978.974874372,-1.187469,-1.1899789748743719
200000000,-1190032,-237995848,-1189979.24,-1.190032,-1.18997924
201000000,-1188773,-239184621,-1189973.2388059702,-1.188773,-1.18997323880597
202000000,-1189713,-240374334,-1189971.9504950496,-1.189713,-1.1899719504950494
203000000,-1188549,-241562883,-1189964.9408866996,-1.188549,-1.1899649408866995
204000000,-1186466,-242749349,-1189947.7892156863,-1.186466,-1.1899477892156862
205000000,-1189792,-243939141,-1189947.0292682927,-1.189792,-1.1899470292682928
206000000,-1190295,-245129436,-1189948.7184466019,-1.190295,-1.189948718446602
207000000,-1193269,-246322705,-1189964.7584541063,-1.193269,-1.1899647584541062
208000000,-1189048,-247511753,-1189960.3509615385,-1.189048,-1.1899603509615384
209000000,-1190996,-248702749,-1189965.3062200956,-1.190996,-1.1899653062200957
210000000,-1191553,-249894302,-1189972.8666666667,-1.191553,-1.1899728666666667
211000000,-1188236,-251082538,-1189964.63507109,-1.188236,-1.18996463507109
212000000,-1190208,-252272746,-1189965.783018868,-1.190208,-1.189965783018868
213000000,-1188771,-253461517,-1189960.1737089201,-1.188771,-1.1899601737089203
214000000,-1190189,-254651706,-1189961.2429906542,-1.190189,-1.1899612429906543
215000000,-1190574,-255842280,-1189964.0930232557,-1.190574,-1.1899640930232558
216000000,-1188720,-257031000,-1189958.3333333333,-1.18872,-1.1899583333333332
217000000,-1190884,-258221884,-1189962.599078341,-1.190884,-1.1899625990783411
218000000,-1190751,-259412635,-1189966.2155963304,-1.190751,-1.1899662155963302
219000000,-1191435,-260604070,-1189972.9223744292,-1.191435,-1.1899729223744293
220000000,-1190140,-261794210,-1189973.6818181819,-1.19014,-1.1899736818181819
221000000,-1190823,-262985033,-1189977.5248868777,-1.190823,-1.1899775248868778
222000000,-1193020,-264178053,-1189991.2297297297,-1.19302,-1.1899912297297297
223000000,-1193540,-265371593,-1190007.1434977578,-1.19354,-1.190007143497758
224000000,-1188585,-266560178,-1190000.794642857,-1.188585,-1.1900007946428572
225000000,-1191091,-267751269,-1190005.64,-1.191091,-1.19000564
226000000,-1189254,-268940523,-1190002.314159292,-1.189254,-1.1900023141592921
227000000,-1192519,-270133042,-1190013.4008810574,-1.192519,-1.1900134008810572
228000000,-1190020,-271323062,-1190013.4298245613,-1.19002,-1.1900134298245615
229000000,-1191704,-272514766,-1190020.8122270743,-1.191704,-1.1900208122270743
230000000,-1190155,-273704921,-1190021.395652174,-1.190155,-1.190021395652174
231000000,-1192114,-274897035,-1190030.4545454546,-1.192114,-1.1900304545454545
232000000,-1188995,-276086030,-1190025.9913793104,-1.188995,-1.1900259913793103
233000000,-1191677,-277277707,-1190033.077253219,-1.191677,-1.1900330772532188
234000000,-1189643,-278467350,-1190031.4102564103,-1.189643,-1.1900314102564102
235000000,-1191229,-279658579,-1190036.5063829788,-1.191229,-1.1900365063829788
236000000,-1188866,-280847445,-1190031.5466101696,-1.188866,-1.1900315466101694
237000000,-1193188,-282040633,-1190044.864978903,-1.193188,-1.190044864978903
238000000,-1189095,-283229728,-1190040.87394958,-1.189095,-1.1900408739495798
239000000,-1190088,-284419816,-1190041.0711297072,-1.190088,-1.1900410711297071
240000000,-1191049,-285610865,-1190045.2708333333,-1.191049,-1.1900452708333333
241000000,-1188757,-286799622,-1190039.9253112033,-1.188757,-1.1900399253112033
242000000,-1187665,-287987287,-1190030.111570248,-1.187665,-1.1900301115702479
243000000,-1189270,-289176557,-1190026.9835390947,-1.18927,-1.1900269835390946
244000000,-1189667,-290366224,-1190025.5081967213,-1.189667,-1.1900255081967213
245000000,-1189007,-291555231,-1190021.351020408,-1.189007,-1.190021351020408
246000000,-1190895,-292746126,-1190024.9024390243,-1.190895,-1.1900249024390244
247000000,-1192292,-293938418,-1190034.0809716599,-1.192292,-1.1900340809716599
248000000,-1190755,-295129173,-1190036.9879032257,-1.190755,-1.1900369879032258
249000000,-1192028,-296321201,-1190044.9839357429,-1.192028,-1.190044983935743
250000000,-1186052,-297507253,-1190029.012,-1.186052,-1.190029012
251000000,-1191493,-298698746,-1190034.844621514,-1.191493,-1.1900348446215139
252000000,-1188789,-299887535,-1190029.900793651,-1.188789,-1.1900299007936508
253000000,-1185607,-301073142,-1190012.418972332,-1.185607,-1.190012418972332
254000000,-1192305,-302265447,-1190021.4448818897,-1.192305,-1.1900214448818898
255000000,-1189469,-303454916,-1190019.2784313725,-1.189469,-1.1900192784313726
256000000,-1186546,-304641462,-1190005.7109375,-1.186546,-1.1900057109375
257000000,-1191022,-305832484,-1190009.6653696499,-1.191022,-1.19000966536965
258000000,-1188633,-307021117,-1190004.3294573643,-1.188633,-1.1900043294573643
259000000,-1186570,-308207687,-1189991.0694980696,-1.18657,-1.1899910694980695
260000000,-1191956,-309399643,-1189998.6269230768,-1.191956,-1.189998626923077
261000000,-1191857,-310591500,-1190005.7471264368,-1.191857,-1.1900057471264367
262000000,-1189953,-311781453,-1190005.5458015266,-1.189953,-1.1900055458015266
263000000,-1189466,-312970919,-1190003.494296578,-1.189466,-1.190003494296578
264000000,-1188780,-314159699,-1189998.8598484849,-1.18878,-1.1899988598484847
265000000,-1191383,-315351082,-1190004.083018868,-1.191383,-1.1900040830188678
266000000,-1190724,-316541806,-1190006.7894736843,-1.190724,-1.190006789473684
