# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
228000000,-1191405,-271337735,-1190077.7850877193,-2e-06,-1.1900777850877193
229000000,-1189111,-272526846,-1190073.5633187774,-2e-06,-1.1900735633187773
230000000,-1188731,-273715577,-1190067.7260869564,-2e-06,-1.1900677260869565
231000000,-1190114,-274905691,-1190067.9264069265,-2e-06,-1.1900679264069265
232000000,-1189817,-276095508,-1190066.8448275863,-2e-06,-1.1900668448275862
233000000,-1189065,-277284573,-1190062.5450643776,-2e-06,-1.1900625450643776
234000000,-1190614,-278475187,-1190064.9017094017,-2e-06,-1.1900649017094016
235000000,-1190990,-279666177,-1190068.8382978723,-2e-06,-1.1900688382978724
236000000,-1189743,-280855920,-1190067.4576271186,0.0,-1.1900674576271186
237000000,-1191091,-282047011,-1190071.776371308,-2e-06,-1.190071776371308
238000000,-1188181,-283235192,-1190063.831932773,0.0,-1.1900638319327732
239000000,-1187578,-284422770,-1190053.430962343,0.0,-1.1900534309623432
240000000,-1191391,-285614161,-1190059.0041666667,0.0,-1.1900590041666668
241000000,-1188518,-286802679,-1190052.6099585062,-2e-06,-1.1900526099585063
242000000,-1193321,-287996000,-1190066.1157024794,0.0,-1.1900661157024794
243000000,-1189545,-289185545,-1190063.9711934156,-2e-06,-1.1900639711934156
244000000,-1190047,-290375592,-1190063.9016393442,-2e-06,-1.1900639016393442
245000000,-1192638,-291568230,-1190074.4081632653,-2e-06,-1.1900744081632653
